photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_etcone20,myy
[68367.42  31886.352],[ 1.5973159  -0.44117934],[ 2.1803005 -1.0582627],[175779.31  35040.18],[ True  True],[1131.7903 2759.7373],146.16295590685465
[88290.53 86963.46],[1.811218 0.863412],[ 1.5049143 -1.6135709],[277291.84  121442.664],[ True  True],[1453.6615 1486.9606],195.2885900910942
[41395.21 30369.99],[ 1.1241317 -0.5332353],[ 0.58562404 -2.5234056 ],[70423.15  34790.973],[ True  True],[ 470.94363 1716.658  ],96.68067817028977
[101560.336  35312.23 ],[-2.0749648 -1.6883458],[-0.32686558  1.5569994 ],[410802.75  98792.11],[ True  True],[-528.0046 1731.3763],99.62154415702726
[42579.3   36383.977],[-0.7277436  -0.03085154],[-2.145099   1.1450424],[54361.02  36401.293],[ True  True],[1392.6104  -161.99341],83.34281892370014
[66404.086 50122.137],[-0.3949178 -0.2824252],[-1.7355819  1.8668205],[71649.93 52134.43],[ True  True],[1236.4517 1334.6929],112.52149589100658
[59814.082 44888.566],[1.2429092 0.79261  ],[-0.7122296  3.0611258],[112277.75   59742.566],[ True  True],[-22.750458 553.4364  ],101.2773391276552
[82797.91  43035.223],[-2.060726  -1.5922242],[-1.99918  -2.157512],[330323.44  110130.164],[ True  True],[-794.5918 -622.7528],29.7597682668016
[69271.61 58361.75],[-1.2916011 -1.2842774],[ 2.2787156  -0.91478306],[135545.08 113481.73],[ True  True],[-286.25543 1839.4862 ],127.12428067129156
[41238.793 39882.133],[-1.8609917 -0.655392 ],[ 1.6739826 -0.8673424],[135791.69   48758.613],[ True  True],[1587.4136 1487.8784],93.26402706554757
[44232.613 42259.42 ],[1.0739608 0.5038618],[-2.978352    0.21335334],[72289.41 47738.22],[ True  True],[1330.6233  -466.54257],89.98026157139098
[80273.77  60457.074],[-0.4796893  -0.69896626],[ 0.5862739 -2.4434228],[89687.805 75836.48 ],[ True  True],[284.9284  210.39114],139.95018951106508
[105489.28   69020.625],[1.8122289 1.7240973],[ 2.2082243  -0.86632276],[331625.2  199669.44],[ True  True],[-227.1438 1589.5938],170.72674088777788
[40421.25  36137.684],[-0.51171505 -0.25783157],[-0.2988143  2.0230749],[45829.94  37345.516],[ True  True],[ 2851.6924 -1240.5479],70.78019619120279
[82405.555 75839.52 ],[-1.0528809 -0.9820426],[-0.8300927  2.4606192],[132459.78 115444.8 ],[ True  True],[1332.0913 -471.8999],157.7689767486835
[40112.96  32390.037],[ 0.52794325 -0.17120071],[-0.53185785  2.7196279 ],[45834.242 32865.867],[ True  True],[370.08707 650.05884],76.43783130349637
[54254.04  52282.188],[-0.8471264  0.4695473],[ 1.5200008 -1.4341359],[74913.39 58152.31],[ True  True],[-386.3271   256.90964],130.06516091045938
[40593.586 40461.094],[-1.2440901 -1.0680196],[-2.6389906   0.15672748],[76274.92 65816.04],[ True  True],[-475.91708  446.4198 ],80.16456935056293
[60197.473 36791.246],[-1.170845   0.8226299],[-2.1169922  1.2625427],[106393.66   49957.984],[ True  True],[2479.1396    -25.998169],144.4464615458259
[64708.332 53323.734],[ 0.08829582 -0.48702285],[-1.0232779  0.2719672],[64960.734 59773.688],[ True  True],[ 907.8656 -356.6047],78.72301708871642
[111818.53  70316.32],[1.6042377  0.79266924],[-0.945834   2.3843052],[289336.56   93588.234],[ True  True],[1528.3195 2765.6804],191.4190610813458
[40841.566 36939.23 ],[1.8182566 1.5836147],[-1.3774446  1.6551788],[129129.12  93784.44],[ True  True],[-461.7217   136.32043],78.10363053231896
[69896.77  65407.973],[ 0.45770067 -0.49388605],[-2.5499368  0.61456  ],[77346.81 73548.72],[ True  True],[  29.21106 -967.64514],150.81992792735045
[51723.035 31710.52 ],[ 1.7039505  -0.04477907],[ 2.7574782 -0.5129177],[146830.8    31742.316],[ True  True],[2380.5493 1081.2532],113.8641564295865
[42787.953 30232.363],[ 0.0644336  -0.35361066],[-3.09898   -0.1428346],[42876.805 32142.275],[ True  True],[-411.94226 3725.867  ],73.20753124054593
[48268.797 46087.02 ],[1.1469585  0.11336221],[-2.8778117  0.5428313],[83654.73 46383.47],[ True  True],[1339.4644 -598.9343],106.40471282611198
[52361.984 33641.68 ],[-0.47527277 -1.1307998 ],[-2.4716527  2.0876575],[58388.02 57542.55],[ True  True],[244.12085 368.88287],69.60429633654464
[88200.984 72861.34 ],[-1.3042433  -0.56944853],[ 1.9753375  -0.23148058],[174473.78  84997.48],[ True  True],[448.83777 550.2805 ],155.29400713986902
[45110.965 39867.9  ],[ 0.51511574 -0.8190251 ],[ 1.3725861  -0.81742287],[51229.45 54004.03],[ True  True],[ 365.4162  -242.33017],96.90042065774648
[62878.023 56254.977],[ 1.6472572 -0.7489567],[ 0.3841596 -2.6680534],[169308.36  72784.16],[ True  True],[2593.679   -121.06174],214.9700552436596
[77910.16 59092.78],[-0.22112232 -0.28327966],[-2.1130977  1.5474825],[79822.64 61479.7 ],[ True  True],[572.2987   -56.566498],131.22892818273198
[43510.89  33032.535],[ 0.4785423  -0.03044421],[ 1.3006494 -2.1244128],[48588.75  33047.844],[ True  True],[-789.0834 3138.5242],77.55538803050872
[46557.863 42303.082],[ 0.03385892 -0.5252422 ],[ 0.8892164 -2.0257864],[46584.555 48273.75 ],[ True  True],[1664.0002 1530.4604],91.70249499455475
[47957.99  31601.086],[0.53984517 1.3089082 ],[ 0.6750526 -2.4260187],[55117.63  62763.617],[ True  True],[ -388.76495 -1379.8345 ],83.6722196604939
[59120.17 30504.53],[-2.0199058 -1.1642867],[ 0.86383986 -2.191745  ],[226734.22  53623.64],[ True  True],[ 184.27043 2688.2637 ],92.75348179303248
[43858.594 42849.715],[1.0144633 1.5204414],[ 0.46042976 -2.6822562 ],[ 68429.93 102686.33],[ True  True],[1101.7263    73.83829],89.4918758574315
[58382.49  49640.926],[ 0.9956858  -0.22865576],[-2.5802662  -0.14816758],[89793.73 50944.29],[ True  True],[2789.483  3603.2773],122.91812705041494
[85381.484 63027.125],[-2.285819  -2.2353926],[-2.817664   1.2802652],[424150.78 298026.97],[ True  True],[419.73572  27.29004],130.3120993133575
[52079.297 48817.227],[ 0.7728706 -1.5334026],[ 1.4529356 -1.3234407],[ 68423.37  118374.875],[ True  True],[ 541.74194 3220.1482 ],174.7005663314936
[51297.69  35640.156],[ 0.8680738 -1.3243028],[ 0.6402961 -2.303716 ],[71870.04 71735.64],[ True  True],[3001.2908   410.78387],142.00086792948676
[74027.84 68019.73],[-0.50513005  2.0994573 ],[-1.9263694  1.2961134],[ 83674.71 281746.62],[ True  True],[ 617.4703 2114.9976],280.20789398459095
[106477.76   30931.996],[-0.3180537  -0.03491325],[-1.7582926  0.899873 ],[111908.86  30950.85],[ True  True],[-407.95868  351.03036],112.62880413912255
[45731.824 38864.797],[2.1528687 0.6023931],[0.05151784 3.101393  ],[199520.45  46132.21],[ True  True],[403.92184   42.515778],110.8818670020905
[46508.727 44733.6  ],[1.0725555 2.2671752],[-1.3070791  2.0697508],[ 75924.86 218203.83],[ True  True],[-736.85156  551.4018 ],107.45637363922403
[45509.67  31691.598],[-0.50491124 -0.33163193],[ 1.4857041 -1.3703101],[51434.977 33450.344],[ True  True],[ 540.0685 1972.4509],75.46974782205626
[64150.324 50780.54 ],[-0.01843672 -0.65525043],[-3.0834851  0.0168163],[64161.227 62077.6  ],[ True  True],[246.05444 914.27795],119.96293583911617
[48240.016 48160.48 ],[2.0650518 1.0173986],[1.5600327 2.4076855],[193262.    75311.53],[ True  True],[-617.05695  320.87396],66.05759072134487
[51051.125 46083.863],[-0.08278734  1.2481644 ],[-0.4862046  2.2049994],[51226.17 86890.51],[ True  True],[2212.6274 1687.3955],117.30965196712262
[50111.51 48057.27],[-2.1572263 -2.1358836],[-1.3893497  2.1174557],[219557.72 206229.66],[ True  True],[1135.5491   731.39764],96.5211586249679
[44123.492 32351.428],[-2.017635  -1.5354695],[ 1.147177  -1.7135385],[168849.31  78595.52],[ True  True],[-289.78308  324.61133],77.04736865047143
[48418.668 44862.38 ],[-0.2794463   0.58934206],[ 2.5293307 -0.7330168],[50321.516 52881.395],[ True  True],[-909.5219   755.03125],101.99201251470012
[41630.688 40913.43 ],[-1.5574399 -0.5560095],[ 1.4901462 -1.7159572],[103188.5    47402.164],[ True  True],[1740.3469  -519.83685],93.06809193351171
[41584.67 32822.38],[0.04429099 0.3037311 ],[ 2.2803206 -1.1162679],[41625.465 34348.027],[ True  True],[ 308.55444 1336.9985 ],73.91716875900967
[47405.934 39475.164],[-0.97234184 -2.0170035 ],[ 1.8571782 -1.2554497],[ 71638.086 150969.3  ],[ True  True],[2341.844 -932.393],98.5835761955278
[56091.31 42171.89],[0.8562045 2.238891 ],[-0.82313496  2.5352397 ],[ 77938.3  200094.98],[ True  True],[ 855.84814 1734.8657 ],121.00230859708351
[84678.94  53364.562],[-1.1929107 -1.2954481],[-1.952746    0.57201576],[152422.08 104765.51],[ True  True],[690.8731  241.65518],128.28665855888943
[53222.223 31477.086],[0.7672415  0.39609808],[ 3.031841  -2.7545137],[69670.78  33978.816],[ True  True],[2336.9668 3021.195 ],25.268867907672053
[72741.484 36544.65 ],[1.8382714 1.258425 ],[ 1.767917   -0.64013356],[234400.55  69507.45],[ True  True],[   5.5916443 -688.7232   ],100.92057425834196
[52614.543 42297.727],[-1.7135208 -0.247233 ],[-0.1832229  -0.01401869],[150706.27  43597.03],[ True  True],[ -381.1517 -1440.7908],75.95698830162965
[59680.11  51707.836],[0.88891345 1.2548313 ],[ 0.4254474 -2.5669658],[84852.805 98047.64 ],[ True  True],[2248.6587 2276.408 ],112.6631747356659
[108422.54  90701.6 ],[-0.09020559 -1.011372  ],[ 2.7526436 -0.5497572],[108863.96 141181.12],[ True  True],[ 446.6156 3914.0884],219.1674193053946
[69099.914 30738.81 ],[2.0501704 1.5452268],[ 0.45464018 -2.629889  ],[272873.4    75345.414],[ True  True],[-329.44125  625.8793 ],95.09173765947206
[182604.34  73222.58],[-0.03511271  0.45998874],[ 1.7191458 -1.144596 ],[182716.92  81106.7 ],[ True  True],[-1009.5198   425.3281],236.22540326607947
[101954.97  73913.96],[0.916453  1.0726264],[ 2.0307326 -1.77218  ],[147852.08 120670.28],[ True  True],[-1664.93    1467.3047],164.77368419225624
[59272.92  42646.492],[-1.0360417   0.23948443],[-0.7592482 -1.3839682],[94033.44  43875.297],[ True  True],[-1030.4436  3552.9033],75.20774320008272
[44637.617 33844.69 ],[1.729547  0.8420095],[-1.1665604  2.0294354],[129794.234  46568.098],[ True  True],[1891.8958    89.12485],85.49130552959326
[62055.97  37780.895],[1.5573045  0.03385827],[-2.476378   2.1401231],[153796.86  37802.55],[ True  True],[-191.92023  546.5442 ],108.2435795002915
[45596.965 35226.56 ],[0.51083183 0.7358975 ],[-1.8197457  2.9174685],[51676.71  45203.246],[ True  True],[2718.0374 1424.5446],56.69579084587099
[67241.35 57862.19],[1.1056039 1.3320458],[ 1.0424488 -2.1965551],[112698.5  117249.73],[ True  True],[-416.52414  488.59885],125.40490270916774
[89158.086 61029.992],[-0.8705202 -1.891441 ],[-1.919009    0.53900224],[125128.31 206884.61],[ True  True],[-1315.9849    446.82806],159.6919940022559
[80335.164 35716.086],[1.7176504 1.6395763],[-1.4313647  1.0345063],[231000.14  95487.81],[ True  True],[-375.11823 1870.0645 ],101.16080856616237
[43884.562 37436.766],[-0.25811148  0.49404612],[ 0.8692964 -2.9019918],[45354.523 42099.266],[ True  True],[ 682.83966 1174.1858 ],83.15947896859888
[51245.344 35380.2  ],[0.71018785 0.9598464 ],[-2.8464985   0.72069705],[64720.953 52968.527],[ True  True],[-855.52637  122.23859],83.91895087143281
[44300.688 34490.48 ],[0.54285777 1.9218174 ],[ 0.50520414 -2.5874395 ],[ 50990.16 120366.73],[ True  True],[3909.567    442.43707],97.4894326796817
[43369.605 38202.324],[-0.1091085 -2.2301033],[ 2.036949  -0.8006302],[ 43628.01 179710.3 ],[ True  True],[  73.620605 -507.505   ],131.06215911333933
[65339.953 64032.96 ],[0.10452667 0.06697597],[ 1.9665551 -1.3727857],[65697.23  64176.633],[ True  True],[ 306.6176 -762.6302],128.7573944551836
[75553.72 37222.92],[-0.28259724 -0.8330434 ],[-2.5000527  0.5508765],[78590.76 50902.96],[ True  True],[  78.39453 -104.82797],110.00029224812367
[86431.66 51030.34],[-1.7135149 -2.1375709],[-0.0758956  0.7034464],[247568.81 219347.72],[ True  True],[1328.5858  -516.42334],57.888797539957
[47649.258 40561.035],[-1.0246985   0.78163064],[ 1.1121461 -2.2021365],[74932.266 53595.152],[ True  True],[3223.937    -56.05078],126.0626062202168
[49798.29  37229.934],[0.53878367 1.6791089 ],[2.8545341 3.0016425],[ 57202.758 103263.12 ],[ True  True],[ 840.7895 1430.4849],52.189047423361195
[72586.47  57542.195],[ 1.052914  -0.7409827],[ 2.9755635  -0.23349841],[116679.484  74075.266],[ True  True],[-1143.1758   802.4494],184.7796988203287
[59020.31  34494.266],[-0.4344051 -1.7894101],[ 1.4424177 -1.1333126],[ 64677.23 106121.25],[ True  True],[657.09937   57.292297],108.87968747303273
[40624.89  39461.617],[1.953035  1.6228335],[ 2.362358  -0.7887461],[146084.97 103878.12],[ True  True],[182.0705  465.07996],81.17105918703982
[40972.184 37973.69 ],[2.0982084 1.579782 ],[-0.28236896 -0.778405  ],[169506.61   96071.875],[ True  True],[ 256.01624 1004.4464 ],28.33125274706797
[140276.31   30913.096],[0.1574353 1.1518271],[-1.3685745  1.0909282],[142018.34   53789.207],[ True  True],[-1192.9402    955.60626],141.62656407116128
[49215.594 34534.06 ],[-1.7284842 -1.1386962],[ 1.8074394 -1.319539 ],[142963.02   59449.184],[ True  True],[2902.911  1291.5046],86.06185794988251
[40429.81 30604.66],[ 0.34663576 -0.83899647],[ 3.0037537 -0.484701 ],[42883.176 42023.07 ],[ True  True],[-352.59952  956.13635],82.18811312028687
[49685.016 31794.898],[0.8570435 0.7562076],[-0.06438884 -2.3743675 ],[69077.06  41327.418],[ True  True],[-625.659  1695.5137],72.82866576083464
[45206.1   31259.494],[-0.73300165  1.3369335 ],[ 2.5247037  -0.35352054],[57904.117 63613.074],[ True  True],[-551.077 -619.056],118.76494456121767
[86533.35  31852.732],[ 1.1052594 -1.2561922],[-1.7208922  1.3208947],[144992.38   60468.574],[ True  True],[2045.1758 -521.4116],187.02830483618476
[40746.613 38547.785],[-0.81369585 -2.3607824 ],[-0.12462183  1.9882467 ],[ 54996.688 206107.05 ],[ True  True],[1184.2806 3918.8499],96.61139825390353
[43629.867 33981.152],[-0.14967184 -0.63234496],[ 1.3494964 -2.699031 ],[44119.473 41004.43 ],[ True  True],[1282.5989 1595.6819],71.72438877809971
[40553.35 35268.64],[ 0.763131  -1.1392775],[-1.6941459  -0.45366302],[52946.176 60742.477],[ True  True],[1715.4346 2679.6714],94.18739247258922
[79040.734 72287.984],[-0.844201  2.094889],[ 0.6611474 -2.8665493],[108918.89 298102.  ],[ True  True],[-456.96198 -481.2198 ],344.77461212246385
[76604.04 75678.6 ],[-0.5350365 -1.0104489],[-1.208415   1.7006035],[ 87832.6  117713.88],[ True  True],[ 1481.2043 -1319.6313],155.60247463128306
[46607.11  31835.758],[-0.49003914  1.0769483 ],[-2.9088275  1.4454894],[52316.074 52152.39 ],[ True  True],[-1022.7623  2166.7632],91.9792229981087
[50245.555 40198.35 ],[ 0.62363917 -2.1136804 ],[ 0.41480273 -2.7034132 ],[ 60337.266 168821.95 ],[ True  True],[ -19.279419 3303.2202  ],188.0583535923168
[40321.504 37846.53 ],[2.1718254 2.1563191],[-0.37586668  2.745465  ],[179193.9  165673.75],[ True  True],[1149.209  3438.2034],78.1271547959577
[65571.664 48037.875],[-0.02544571 -0.17269373],[-1.8766328  1.3326538],[65592.89  48755.977],[ True  True],[-406.06497 1339.9766 ],112.48859523154903
[44704.26  31470.941],[-0.40474188 -0.1969982 ],[-2.1100924  2.5412443],[48416.156 32083.586],[ True  True],[436.4348 700.4254],55.19408377588415
[55974.83 39114.53],[ 1.7150142  -0.14807138],[ 2.2835603 -0.9528557],[160555.84  39544.11],[ True  True],[721.00836 158.64276],137.13771721968968
[41088.957 36060.324],[-1.2435039 -1.1092231],[0.9593638 3.1243253],[77167.42  60614.105],[ True  True],[-1317.3752  -626.983 ],68.18401985100581
[111025.336  36550.406],[-0.14738783 -0.6889182 ],[2.7451386 1.468955 ],[112233.43  45572.49],[ True  True],[-473.08826  720.51636],83.53919477547628
[75966.49 38200.67],[1.5829517  0.31307897],[-1.9794731  0.6577984],[192752.64  40088.2 ],[ True  True],[-322.054  3307.2837],127.39158091193458
[82144.766 71098.23 ],[-0.12690933  1.7302568 ],[ 0.54560155 -2.5274272 ],[ 82807.164 206872.42 ],[ True  True],[2665.7104    -33.587402],223.55244756082885
[47773.63 41400.9 ],[-2.0762303 -1.6771789],[ 2.7226844  -0.44066063],[193477.3   114625.445],[ True  True],[-350.01764 2932.122  ],90.71777137799108
[49337.508 43676.426],[0.6528567 1.5543143],[-2.3921168 -1.973525 ],[ 60230.67 107950.1 ],[ True  True],[ 221.46542 -470.7103 ],47.38202470502656
[104950.76  55073.27],[1.5680491 0.9239089],[ 2.809456  -0.6363673],[262677.66  80299.09],[ True  True],[-417.66132 2139.8726 ],158.3393616553718
[53000.87  48573.918],[0.3049344 1.7090973],[ 2.2753136 -1.0063515],[ 55484.168 138557.14 ],[ True  True],[-457.9162   249.07266],127.33502773772224
[56995.973 50091.82 ],[-1.0373645 -0.8106811],[ 1.4856524 -1.5061203],[90514.1  67473.55],[ True  True],[3786.149  1327.8191],107.25437556875934
[44706.992 40451.51 ],[0.30882564 1.3041784 ],[ 2.359666  -1.7557074],[46855.918 80014.22 ],[ True  True],[-700.93964  414.85526],87.14859726823018
[73660.76  32833.383],[0.43678352 1.9798744 ],[ 1.4241583  -0.97997725],[ 80799.67 121153.87],[ True  True],[-828.55695  900.51324],124.15139785694768
[59346.527 59001.77 ],[0.27202123 2.2911487 ],[-2.6266344   0.47629398],[ 61555.79 294638.25],[ True  True],[2603.0237     91.251526],183.94448570518588
[103770.31   39456.723],[-1.207706    0.62442845],[ 0.4570078 -2.8146632],[189104.92  47402.24],[ True  True],[-2497.1094   -199.72559],185.34799497169337
[74427.12  65197.973],[ 0.59204197 -1.115434  ],[ 2.4145436  -0.50928646],[ 87856.46  110141.055],[ True  True],[1174.6525 1578.5873],192.65850498225188
[47523.21  34004.566],[ 0.5521267  -0.57418156],[2.6049652 1.6224567],[54952.684 39765.656],[ True  True],[-462.65967 3974.7656 ],60.94715481187176
[51717.285 47090.125],[-2.0233185 -1.647991 ],[-0.96877563  2.0668607 ],[198997.73 126883.52],[ True  True],[ 171.82147 1851.3726 ],100.30598682100586
[83018.516 67418.51 ],[0.9744725 2.1595418],[ 0.5859919 -2.782217 ],[125655.19 296053.  ],[ True  True],[2574.6816   466.17383],175.85834033187243
[78649.81 49926.34],[ 0.44204712 -0.6852275 ],[-1.2360268  2.8000538],[86460.07 62113.33],[ True  True],[1257.8745  861.9675],135.31490351444515
[57541.832 37019.05 ],[-2.107062  -1.8586286],[ 0.7377707 -2.418133 ],[240111.67 121622.76],[ True  True],[ 187.14417 1010.6858 ],93.01768769408746
[57819.2  38282.07],[-2.1230807  -0.31803137],[ 1.3015821 -1.6833242],[245052.38  40234.44],[ True  True],[  14.0896 2878.2573],134.88879023735177
[68078.88 49641.55],[0.63290244 0.2458949 ],[ 1.0036538 -1.3194195],[82175.17 51149.9 ],[ True  True],[-346.68127  177.30844],109.04174047382823
[48268.19 46620.26],[0.5979278 1.0299873],[ 1.4689624 -1.6970702],[57156.707 73614.37 ],[ True  True],[ 579.0779 -643.0156],97.08968238609025
[46168.316 34876.246],[2.1514626 2.1231704],[-0.46569687 -2.672683  ],[201149.3  147827.22],[ True  True],[655.0674  779.79333],71.6586361686324
[56625.742 54397.598],[-0.18264896  1.3531903 ],[ 0.10619435 -2.8232255 ],[ 57572.906 112281.16 ],[ True  True],[ -39.380524 1204.8834  ],144.89400111593824
[80799.12 62573.24],[-0.3153721   0.22099693],[ 1.7438543 -1.179739 ],[84850.66  64107.496],[ True  True],[ 1174.7131 -1119.4752],146.53963950593823
[57344.676 30786.184],[-1.0671759 -0.3509781],[-0.69420725  2.2905307 ],[93217.68  32701.938],[ True  True],[-164.04156 1061.9243 ],89.23721148078401
[123613.555  48581.28 ],[-1.6601185 -1.3671588],[-2.5622082 -1.5233276],[336850.06 101510.96],[ True  True],[1938.0403  830.9525],80.23795664935608
[123587.02   34643.285],[-2.0813901 -1.5752687],[-0.57707876  2.418822  ],[503021.47  87283.62],[ True  True],[1875.0806  969.4444],134.74211627577506
[57345.234 31588.676],[2.2929611 1.0013604],[-2.0278738   0.42911422],[286874.94  48794.42],[ True  True],[-268.21686 1417.445  ],99.47662487096535
[66559.91  30616.012],[-1.1826336  0.8337444],[-2.492583    0.49043405],[118790.36   41887.934],[ True  True],[-132.94482 3963.6172 ],140.0065049398498
[40552.56  30192.166],[ 0.10739838 -0.8736521 ],[-1.0387051  2.4365277],[40786.66  42466.312],[ True  True],[1466.3002 2642.9238],77.70747492180342
[60597.19 52669.32],[2.0352626 1.340845 ],[-0.11350423  2.9985487 ],[235871.78 107548.02],[ True  True],[-768.8036    62.86847],119.856450340427
[54608.66 48922.15],[1.1360382 1.8718519],[-1.9415181  1.1661937],[ 93803.86 162767.95],[ True  True],[1905.3873  347.5777],110.43608575782899
[61150.105 50049.42 ],[-1.89058     0.27821305],[-1.88525   -0.8147185],[207121.33  51998.92],[ True  True],[ 258.99445 3489.0645 ],155.52006426142307
[62489.652 38638.008],[ 2.2327313 -1.1070993],[-1.9142375  1.2537981],[294717.97  64836.23],[ True  True],[279.5412  -98.78879],270.2511382623519
[48802.91  38675.074],[0.904766  0.8338347],[-0.6410132  -0.09834659],[70178.34  52917.367],[ True  True],[ -237.48032 -1067.865  ],23.490936189139603
[77086.82  30110.783],[-1.5696416  1.745919 ],[ 1.7497995 -1.2685025],[193219.88  88911.88],[ True  True],[-1380.0497  2147.1816],261.9362828000549
[45830.28 37459.5 ],[0.45185277 0.387411  ],[ 2.5366948  -0.12573159],[50589.035 40305.934],[ True  True],[-1429.1782   -644.14075],80.54539831278157
[156227.75   36974.293],[-0.66049224  1.7327129 ],[-1.8150722  0.8059151],[191561.94 107831.48],[ True  True],[1875.9952 3028.1082],271.64881034644105
[46598.047 36515.78 ],[ 0.3416316  -0.30537486],[-2.5983796  0.5749903],[49343.875 38231.67 ],[ True  True],[-864.7998  -165.50641],86.84492033331176
[49984.492 41212.316],[1.5859268 0.5827584],[-2.1808815  1.0041509],[127174.875  48410.625],[ True  True],[1687.6943 2027.2827],102.41512971115031
[53381.953 36892.527],[0.37910903 0.9957035 ],[2.1290915 1.3780416],[57264.242 56742.39 ],[ True  True],[-148.52133   61.13806],42.806633362648874
[61398.668 31449.082],[-1.3296987  -0.42739818],[ 1.4563588 -3.0505316],[124162.266  34365.465],[ True  True],[-1042.3259   -650.45056],79.57106043129879
[41362.535 34531.242],[-0.09582509  0.4354508 ],[-0.9369641  2.1002812],[41552.586 37857.164],[ True  True],[-220.60059  471.95618],78.16889869561305
[74855.32 33824.12],[1.1331345  0.48994958],[-0.88603526  2.4377077 ],[128279.46   37965.734],[ True  True],[1977.294  3201.4856],105.48893241953965
[104036.39   78623.664],[-0.5976352 -1.5616224],[-0.8795769  2.9592052],[123175.234 195629.19 ],[ True  True],[2954.1655  -349.92993],192.63896741718509
[61813.7  57663.97],[-0.33063498  1.330917  ],[ 1.7388759 -1.5304031],[ 65223.312 116733.414],[ True  True],[ 235.3341  -328.06424],162.8588986634605
[87166.24 73394.65],[1.697257  1.2202741],[-2.0350351 -2.201293 ],[245902.   135165.98],[ True  True],[2144.4287  903.0127],40.74020140678573
[66800.82 57668.54],[-2.1966789 -1.1714972],[-0.25305986  2.7375925 ],[304152.88 101978.82],[ True  True],[197.29979 230.60553],140.49070200676596
[41836.625 36338.22 ],[1.8586959 2.2982042],[-2.220265   1.7496501],[137459.27 182721.75],[ True  True],[-208.50174 1566.3462 ],73.44860461105141
[50274.07  32835.117],[-1.2506629  -0.96137065],[-2.177793  -1.4967613],[94992.164 49214.047],[ True  True],[-888.45123 -559.9635 ],29.5906958183521
[71019.23  30222.883],[-0.5612421  -0.67104936],[-0.3670729  1.818657 ],[82501.2  37286.89],[ True  True],[344.6233   -20.887573],82.43336367166178
[139149.34 136744.27],[-1.8570021 -2.2456574],[ 0.1283102 -2.700055 ],[456454.94 653123.56],[ True  True],[ 342.70413 3583.689  ],277.79561766929413
[40629.113 31291.977],[-0.15664215 -1.9346726 ],[-1.3799015 -3.130551 ],[ 41128.586 110558.45 ],[ True  True],[ 659.70245 -360.75925],90.51993291406586
[44924.66  32477.633],[-1.2131071  -0.14707516],[ 1.9731097 -1.9561638],[82238.92 32829.53],[ True  True],[ -201.5899 -1115.0911],82.44982474713835
[48812.652 32095.92 ],[-0.11578174 -0.27145004],[-0.44050068  2.3253565 ],[49140.195 33285.695],[ True  True],[-1140.1931    450.06735],78.0140964977749
[126467.984  40543.246],[ 0.5404715 -0.2639086],[ 0.494906  -1.4889826],[145393.27   41963.332],[ True  True],[ -781.0956 -1062.4596],133.68600869980176
[53348.652 33971.574 33397.387],[-1.2839582  -1.050537   -0.96496624],[-0.9941916 -1.1968169 -0.9416093],[103705.59   54506.305  50191.18 ],[ True  True False],[-1022.2233   -354.68634 18313.861  ],13.166354914886893
[56825.418 30445.54 ],[ 0.24386731 -0.04575764],[ 0.14366412 -3.0005498 ],[58523.547 30477.418],[ True  True],[ -87.32025 3303.7825 ],84.06218818445402
[54468.2   49733.332],[-0.53244156 -1.911955  ],[-1.8155401  1.6921269],[ 62373.035 171930.5  ],[ True  True],[-309.67792  555.25806],128.46373523902895
[73095.62  35518.355],[-0.4415631 -1.1701466],[ 0.00522503 -2.6073945 ],[80338.17  62739.383],[ True  True],[ 145.60419 1361.0154 ],105.43003770972999
[41119.277 38257.75 ],[-0.10448302  0.72651917],[2.030618  1.9841329],[41343.926 48806.55 ],[ True  True],[ 594.3882 3526.119 ],33.9664646829002
[40392.406 35699.64 ],[ 1.5902418  -0.38597876],[ 1.1999016 -1.73883  ],[103178.586  38392.08 ],[ True  True],[267.60434 928.64636],115.8848281212699
[75619.69  40009.297],[ 1.8973405  -0.41068423],[ 2.9332502 -0.1453123],[257791.45  43431.  ],[ True  True],[-997.8777 2299.2383],191.72844093793853
[57052.59 32613.67],[-0.39588726 -1.1690496 ],[-1.2465523 -2.418705 ],[61582.12  57556.508],[ True  True],[751.1476  -44.93457],58.69984496251166
[49196.41  40421.613],[0.98710287 1.7111359 ],[-2.2849562   0.10246793],[ 75174.664 115523.06 ],[ True  True],[469.3851  509.11734],89.24545688365843
[53115.79  44819.324],[0.03622799 1.5653163 ],[ 0.69068205 -1.661658  ],[ 53150.65 111896.15],[ True  True],[2403.0027   775.57324],121.87587881792935
[88931.195 48906.555],[0.1451535 1.775965 ],[ 0.639487  -2.1182253],[ 89869.71 148560.94],[ True  True],[1448.0875  683.2743],176.44661159808925
[46880.53  41667.277],[-2.2919395 -1.6235902],[ 0.43687513 -2.9000702 ],[234289.66 109761.07],[ True  True],[ 584.6687 3730.0417],92.97716354698328
[41176.348 33034.977],[1.2599212 1.2026846],[ 0.21734905 -2.5232508 ],[78416.65 59949.05],[ True  True],[1329.9126  -868.81116],72.31659032358775
[42504.05 37655.46],[ 0.1640587 -0.2467464],[ 1.9654496 -1.1780329],[43077.34  38807.594],[ True  True],[ 147.31485 2548.5674 ],81.70653099847581
[44556.33  42080.277],[-1.3272065   0.22540356],[-2.6679816  0.9015694],[89908.27  43153.793],[ True  True],[-699.4691 3375.6733],112.54083377398462
